session_day_et,symbol,scanner_windows,bars,quotes,buy_flips_all,eligible_buy_flips,candidates,status
2026-08-26,CDTG,8,406,35124,4,1,1,EVALUATED
2026-08-26,CRE,1,495,159411,5,5,5,EVALUATED
2026-08-26,DAIC,8,424,72527,4,2,2,EVALUATED
2026-08-26,EXYN,3,18,704,0,0,0,NO_BUY_FLIP
2026-08-26,MIMI,5,0,0,0,0,0,NO_BARS
2026-08-26,MSS,5,31,55266,0,0,0,NO_BUY_FLIP
2026-08-26,NUWE,2,23,1415,0,0,0,NO_BUY_FLIP
2026-08-26,OLOX,1,3,7340,0,0,0,NO_BUY_FLIP
2026-08-26,PMI,1,0,0,0,0,0,NO_BARS
2026-08-26,RDGT,1,2,1403,0,0,0,NO_BUY_FLIP
2026-08-26,RPGL,1,0,0,0,0,0,NO_BARS
2026-08-26,SMTK,4,0,0,0,0,0,NO_BARS
2026-08-26,VCIG,1,42,22995,0,0,0,NO_BUY_FLIP
2026-08-26,VMAR,1,4,576,0,0,0,NO_BUY_FLIP
2026-08-26,WNW,4,0,0,0,0,0,NO_BARS
2026-08-26,WSHP,3,63,34097,0,0,0,NO_BUY_FLIP
2026-08-26,WVVIP,2,3,2733,0,0,0,NO_BUY_FLIP
2026-08-26,XPON,3,365,87279,4,4,4,EVALUATED
2026-08-26,YYGH,2,540,178334,6,6,6,EVALUATED
2026-08-27,AEMD,3,0,0,0,0,0,NO_BARS
2026-08-27,BMRA,2,6,245,0,0,0,NO_BUY_FLIP
2026-08-27,BRNX,5,77,16680,0,0,0,NO_BUY_FLIP
2026-08-27,BTCT,2,12,716,0,0,0,NO_BUY_FLIP
2026-08-27,CELU,5,399,416922,3,3,3,EVALUATED
2026-08-27,CISS,1,0,0,0,0,0,NO_BARS
2026-08-27,CRE,1,0,0,0,0,0,NO_BARS
2026-08-27,DAIC,1,0,0,0,0,0,NO_BARS
2026-08-27,INHD,1,0,0,0,0,0,NO_BARS
2026-08-27,LGPS,5,55,32054,0,0,0,NO_BUY_FLIP
2026-08-27,MIMI,7,279,89712,2,2,2,EVALUATED
2026-08-27,PPCB,1,450,226271,5,5,5,EVALUATED
2026-08-27,RYET,2,0,0,0,0,0,NO_BARS
2026-08-27,USDE,4,215,26470,1,0,0,NO_ELIGIBLE_BUY_FLIP
2026-08-27,WNW,7,429,20454,3,1,1,EVALUATED
2026-08-27,WSHP,1,0,0,0,0,0,NO_BARS
2026-08-27,XPON,1,0,0,0,0,0,NO_BARS
2026-08-27,YAAS,6,79,44507,0,0,0,NO_BUY_FLIP
2026-08-27,YYGH,1,0,0,0,0,0,NO_BARS
2026-08-28,AEMD,3,213,106882,1,0,0,NO_ELIGIBLE_BUY_FLIP
2026-08-28,AREN,2,2,464,0,0,0,NO_BUY_FLIP
2026-08-28,CELU,1,0,0,0,0,0,NO_BARS
2026-08-28,DUO,1,62,17484,0,0,0,NO_BUY_FLIP
2026-08-28,FTFT,1,0,0,0,0,0,NO_BARS
2026-08-28,IOTR,1,0,0,0,0,0,NO_BARS
2026-08-28,LGPS,1,0,0,0,0,0,NO_BARS
2026-08-28,NA,3,0,0,0,0,0,NO_BARS
2026-08-28,NCRA,3,0,0,0,0,0,NO_BARS
2026-08-28,PPCB,1,0,0,0,0,0,NO_BARS
2026-08-28,QNRX,3,212,56504,1,1,1,EVALUATED
2026-08-28,SWVL,1,5,296,0,0,0,NO_BUY_FLIP
2026-08-28,TNON,1,6,2543,0,0,0,NO_BUY_FLIP
2026-08-28,WCT,1,23,9710,0,0,0,NO_BUY_FLIP
2026-08-28,WHLR,4,155,35047,1,0,0,NO_ELIGIBLE_BUY_FLIP
2026-08-31,AEHL,1,528,144201,5,5,5,EVALUATED
2026-08-31,CVKD,3,41,16194,0,0,0,NO_BUY_FLIP
2026-08-31,LABT,1,0,0,0,0,0,NO_BARS
2026-08-31,LGPS,2,58,35991,0,0,0,NO_BUY_FLIP
2026-08-31,MEDS,1,1,492,0,0,0,NO_BUY_FLIP
2026-08-31,MOBX,2,11,17115,0,0,0,NO_BUY_FLIP
2026-08-31,NCRA,9,538,166121,8,4,4,EVALUATED
2026-08-31,PETZ,4,0,0,0,0,0,NO_BARS
2026-08-31,RDHL,1,492,265012,2,2,2,EVALUATED
2026-08-31,SQFT,3,78,11038,1,0,0,NO_ELIGIBLE_BUY_FLIP
2026-08-31,SSM,1,0,0,0,0,0,NO_BARS
2026-08-31,SST,2,15,2905,0,0,0,NO_BUY_FLIP
2026-08-31,USDE,2,61,5602,0,0,0,NO_BUY_FLIP
2026-08-31,WBUY,6,110,6267,2,0,0,NO_ELIGIBLE_BUY_FLIP
2026-08-31,WETO,3,502,88775,4,2,2,EVALUATED
2026-08-31,WFF,3,41,4667,0,0,0,NO_BUY_FLIP
2026-08-31,XAIR,1,0,573,0,0,0,NO_BARS
2026-08-31,YDDL,3,539,72982,7,3,3,EVALUATED
2026-09-01,AEHL,1,0,0,0,0,0,NO_BARS
2026-09-01,BIAF,1,470,146287,4,4,4,EVALUATED
2026-09-01,FLYE,3,536,161951,4,2,2,EVALUATED
2026-09-01,GYGY,1,0,0,0,0,0,NO_BARS
2026-09-01,KITT,2,0,0,0,0,0,NO_BARS
2026-09-01,LABT,1,0,0,0,0,0,NO_BARS
2026-09-01,LIDR,4,245,111905,2,0,0,NO_ELIGIBLE_BUY_FLIP
2026-09-01,NCRA,1,0,0,0,0,0,NO_BARS
2026-09-01,NWGL,5,73,3385,0,0,0,NO_BUY_FLIP
2026-09-01,OLOX,3,36,14165,0,0,0,NO_BUY_FLIP
2026-09-01,PETZ,6,145,8093,0,0,0,NO_BUY_FLIP
2026-09-01,RDAC,3,339,58152,2,2,2,EVALUATED
2026-09-01,SSM,2,539,56320,6,6,6,EVALUATED
2026-09-01,UPC,3,0,0,0,0,0,NO_BARS
2026-09-01,WETO,2,164,8178,1,0,0,NO_ELIGIBLE_BUY_FLIP
